Experiment date: 2013_11_26_7_43_27
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
9	1	0	0.100	1	1.118	1	999	0.300
9	2	0	-0.100	0	0.619	1	999	0.300
9	3	0	-0.100	0	0.935	1	999	0.300
9	4	1	0.300	1	0.635	1	0	0.300
9	5	1	-0.700	0	0.519	1	0	0.300
9	6	0	-0.300	0	0.619	1	999	0.275
9	7	0	-0.300	0	0.602	1	999	0.275
9	8	0	0.000	1	0.935	0	999	0.300
9	9	0	0.000	0	1.168	0	999	0.300
9	10	0	0.700	1	0.518	1	999	0.275
9	11	0	-0.700	0	0.702	1	999	0.275
9	12	0	0.300	1	0.702	1	999	0.275
9	13	1	0.000	999	0.000	999	1	0.300
9	14	0	0.300	1	0.718	1	999	0.275
9	15	1	0.700	999	0.000	999	1	0.275
9	16	0	0.100	0	0.785	0	999	0.300
9	17	0	-0.300	0	0.569	1	999	0.275
9	18	0	-0.100	0	0.635	1	999	0.300
9	19	0	0.700	1	0.554	1	999	0.300
9	20	0	0.300	0	0.502	0	999	0.275
9	21	0	-0.700	0	0.588	1	999	0.300
9	22	1	0.100	999	0.000	999	1	0.300
9	23	1	-0.300	999	0.000	999	1	0.275
9	24	1	-0.100	999	0.000	999	1	0.325
9	25	0	0.700	1	0.502	1	999	0.300
9	26	0	0.100	0	0.919	0	999	0.350
9	27	0	-0.700	0	0.652	1	999	0.300
9	28	0	0.000	1	0.902	1	999	0.325
9	29	0	0.000	1	1.119	1	999	0.325
9	30	1	-0.100	999	0.000	999	1	0.350
9	31	0	0.300	1	0.602	1	999	0.300
9	32	1	-0.700	0	0.519	1	0	0.300
9	33	0	0.700	1	0.602	1	999	0.275
9	34	0	-0.100	1	0.869	0	999	0.375
9	35	0	0.000	0	0.685	1	999	0.325
9	36	0	0.700	1	0.535	1	999	0.275
9	37	0	-0.100	0	1.085	1	999	0.375
9	38	0	-0.700	0	0.519	1	999	0.275
9	39	0	0.700	1	0.502	1	999	0.275
9	40	0	0.100	1	0.685	1	999	0.375
9	41	0	-0.300	0	0.552	1	999	0.300
9	42	0	-0.700	0	0.852	1	999	0.275
9	43	0	-0.700	0	0.602	1	999	0.275
9	44	0	-0.100	0	0.752	1	999	0.375
9	45	1	0.100	999	0.000	999	1	0.375
9	46	0	0.300	1	0.469	1	999	0.300
9	47	0	-0.300	0	0.502	1	999	0.300
9	48	1	0.700	999	0.000	999	1	0.275
9	49	0	0.300	1	0.652	1	999	0.300
9	50	0	0.100	1	0.685	1	999	0.400
9	51	0	-0.300	0	0.618	1	999	0.300
9	52	1	0.000	999	0.000	999	1	0.325
9	53	1	0.300	999	0.000	999	1	0.300
9	54	1	-0.300	0	0.486	1	0	0.325
9	55	0	0.000	0	0.918	1	999	0.350
9	56	0	0.100	1	0.835	1	999	0.400
9	57	1	-0.700	0	0.502	1	0	0.300
9	58	1	0.000	999	0.000	999	1	0.350
9	59	0	0.000	0	0.802	0	999	0.375
9	60	0	0.100	0	0.985	0	999	0.400
9	61	1	0.700	999	0.000	999	1	0.275
9	62	0	0.700	1	0.519	1	999	0.300
9	63	1	-0.100	999	0.000	999	1	0.400
9	64	0	-0.100	0	0.452	1	999	0.425
9	65	0	0.000	0	0.552	1	999	0.375
9	66	0	-0.300	0	0.552	1	999	0.300
9	67	0	0.000	1	0.919	0	999	0.375
9	68	1	0.100	999	0.000	999	1	0.425
9	69	1	-0.300	0	0.835	1	0	0.300
9	70	0	0.300	1	0.702	1	999	0.275
9	71	0	0.100	1	0.719	1	999	0.450
9	72	0	0.300	1	0.752	1	999	0.275
9	73	0	-0.700	0	0.602	1	999	0.300
9	74	0	-0.700	0	0.602	1	999	0.300
9	75	1	0.300	999	0.000	999	1	0.275
9	76	0	-0.100	0	0.853	1	999	0.450
9	77	0	0.700	1	0.752	1	999	0.300
9	78	0	-0.700	0	0.471	1	999	0.300
9	79	0	-0.300	0	0.621	1	999	0.300
9	80	0	0.100	1	0.919	1	999	0.450
9	81	0	0.300	1	0.652	1	999	0.300
9	82	0	-0.300	0	0.568	1	999	0.300
9	83	0	-0.100	1	0.569	0	999	0.450
9	84	0	0.700	1	0.501	1	999	0.300
