Experiment date: 2013_10_8_7_44_0
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
1	1	0	-0.300	0	1.135	1	999	0.300
1	2	1	0.000	999	0.000	999	1	0.300
1	3	1	0.100	999	0.000	999	1	0.300
1	4	0	0.300	1	0.719	1	999	0.300
1	5	0	0.700	1	0.585	1	999	0.300
1	6	0	-0.100	0	1.103	1	999	0.325
1	7	0	0.100	1	0.752	1	999	0.325
1	8	1	0.300	999	0.000	999	1	0.300
1	9	1	0.700	999	0.000	999	1	0.300
1	10	0	-0.100	0	0.635	1	999	0.325
1	11	0	0.100	1	0.735	1	999	0.325
1	12	0	0.000	1	1.020	0	999	0.325
1	13	0	-0.100	0	1.069	1	999	0.325
1	14	0	-0.700	0	0.702	1	999	0.325
1	15	0	0.700	1	0.569	1	999	0.325
1	16	0	0.000	1	0.685	1	999	0.325
1	17	0	-0.300	0	0.585	1	999	0.325
1	18	0	0.300	1	0.535	1	999	0.325
1	19	0	-0.700	0	0.552	1	999	0.325
1	20	0	0.300	1	0.819	1	999	0.325
1	21	0	-0.300	0	0.469	1	999	0.325
1	22	1	-0.300	0	0.552	1	0	0.325
1	23	0	0.000	1	0.619	0	999	0.325
1	24	1	-0.100	0	0.438	1	0	0.325
1	25	1	-0.700	0	0.736	1	0	0.325
1	26	0	0.100	1	0.802	1	999	0.300
1	27	0	0.700	1	0.569	1	999	0.300
1	28	0	-0.700	0	0.635	1	999	0.300
1	29	1	0.300	1	0.435	1	0	0.300
1	30	0	-0.300	0	0.702	1	999	0.275
1	31	1	-0.700	999	0.000	999	1	0.300
1	32	0	-0.700	0	0.702	1	999	0.325
1	33	1	0.700	999	0.000	999	1	0.325
1	34	1	-0.100	999	0.000	999	1	0.300
1	35	1	0.100	1	0.552	1	0	0.325
1	36	0	-0.300	0	0.569	1	999	0.275
1	37	0	0.300	1	0.552	1	999	0.275
1	38	0	0.100	0	0.569	0	999	0.300
1	39	0	-0.700	0	0.535	1	999	0.350
1	40	0	0.700	1	0.419	1	999	0.350
1	41	0	-0.100	0	0.535	1	999	0.300
1	42	0	-0.700	0	0.569	1	999	0.350
1	43	1	0.000	1	0.386	1	0	0.325
1	44	0	0.000	0	0.602	1	999	0.300
1	45	0	0.300	1	0.471	1	999	0.275
1	46	0	-0.100	0	0.520	1	999	0.300
1	47	0	-0.100	1	0.435	0	999	0.300
1	48	0	0.700	0	0.435	0	999	0.350
1	49	0	0.700	1	0.569	1	999	0.350
1	50	0	0.300	0	0.635	0	999	0.275
1	51	1	-0.300	999	0.000	999	1	0.275
1	52	0	0.000	0	0.436	1	999	0.300
1	53	0	0.100	1	0.602	1	999	0.300
1	54	0	0.100	0	0.569	0	999	0.300
1	55	0	-0.300	0	0.685	1	999	0.300
1	56	0	0.000	1	0.702	0	999	0.300
1	57	0	0.000	0	0.452	1	999	0.300
1	58	1	-0.100	1	0.552	0	0	0.300
1	59	0	0.700	1	0.670	1	999	0.350
1	60	0	0.100	0	0.669	0	999	0.275
1	61	0	0.100	1	0.969	1	999	0.275
1	62	0	-0.700	0	0.536	1	999	0.350
1	63	0	0.700	1	0.519	1	999	0.350
1	64	0	-0.700	0	0.521	1	999	0.350
1	65	1	0.300	1	0.552	1	0	0.300
1	66	0	-0.300	0	0.669	1	999	0.275
1	67	0	-0.100	0	0.569	1	999	0.275
1	68	1	0.700	1	0.519	1	0	0.350
1	69	1	-0.700	999	0.000	999	1	0.325
1	70	0	-0.100	1	0.602	0	999	0.275
1	71	0	-0.100	0	0.585	1	999	0.275
1	72	0	0.000	0	0.968	0	999	0.300
1	73	0	0.100	1	0.702	1	999	0.275
1	74	0	0.300	1	0.752	1	999	0.275
1	75	0	0.300	1	0.635	1	999	0.275
1	76	1	0.100	999	0.000	999	1	0.275
1	77	0	0.000	0	0.585	0	999	0.300
1	78	0	0.300	1	0.552	1	999	0.275
1	79	0	0.700	1	0.552	1	999	0.350
1	80	1	0.000	999	0.000	999	1	0.300
1	81	1	-0.300	1	0.368	0	0	0.275
1	82	0	-0.300	0	0.585	1	999	0.250
1	83	0	-0.700	1	0.468	0	999	0.350
1	84	0	-0.300	0	0.569	1	999	0.250
