Experiment date: 2013_10_29_7_46_23
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
5	1	0	-0.300	0	1.002	1	999	0.300
5	2	0	0.300	1	0.535	1	999	0.300
5	3	1	0.300	999	0.000	999	1	0.300
5	4	0	-0.100	0	0.704	1	999	0.300
5	5	0	-0.100	0	0.821	1	999	0.300
5	6	1	-0.300	0	0.619	1	0	0.325
5	7	1	-0.100	999	0.000	999	1	0.300
5	8	1	0.100	999	0.000	999	1	0.325
5	9	0	0.100	0	0.768	0	999	0.350
5	10	0	0.000	1	1.138	1	999	0.300
5	11	0	-0.700	0	0.635	1	999	0.300
5	12	0	-0.700	0	0.552	1	999	0.300
5	13	0	-0.300	0	0.985	1	999	0.300
5	14	0	-0.300	0	0.552	1	999	0.300
5	15	1	0.700	1	0.569	1	0	0.300
5	16	0	0.700	1	0.635	1	999	0.275
5	17	0	0.100	1	0.902	1	999	0.350
5	18	0	0.300	1	0.552	1	999	0.300
5	19	0	0.700	1	0.569	1	999	0.275
5	20	1	-0.700	0	0.569	1	0	0.275
5	21	0	-0.100	0	0.719	1	999	0.350
5	22	0	0.000	1	1.302	0	999	0.300
5	23	1	0.000	999	0.000	999	1	0.300
5	24	0	0.300	1	0.602	1	999	0.300
5	25	0	0.100	1	0.835	1	999	0.350
5	26	0	0.000	1	0.569	0	999	0.325
5	27	0	0.700	1	0.619	1	999	0.250
5	28	0	-0.700	0	0.519	1	999	0.250
5	29	0	0.700	1	0.485	1	999	0.250
5	30	1	-0.100	999	0.000	999	1	0.350
5	31	1	-0.300	0	0.619	1	0	0.300
5	32	1	0.000	999	0.000	999	1	0.325
5	33	1	0.700	999	0.000	999	1	0.250
5	34	0	-0.700	0	0.719	1	999	0.275
5	35	0	-0.700	0	0.669	1	999	0.275
5	36	0	0.100	1	0.952	1	999	0.375
5	37	0	0.100	1	0.835	1	999	0.375
5	38	0	0.300	1	0.635	1	999	0.275
5	39	0	-0.700	0	0.719	1	999	0.275
5	40	0	-0.300	0	0.652	1	999	0.275
5	41	1	0.100	999	0.000	999	1	0.375
5	42	1	0.300	999	0.000	999	1	0.275
5	43	0	-0.300	0	0.552	1	999	0.300
5	44	0	-0.100	0	0.569	1	999	0.400
5	45	0	-0.100	0	0.685	1	999	0.400
5	46	0	-0.100	0	0.735	1	999	0.400
5	47	0	0.300	1	0.636	1	999	0.300
5	48	1	-0.700	999	0.000	999	1	0.275
5	49	0	-0.300	0	0.885	1	999	0.300
5	50	0	0.000	1	0.752	1	999	0.350
5	51	0	0.300	1	0.552	1	999	0.300
5	52	0	0.100	1	0.752	1	999	0.400
5	53	0	0.700	1	0.502	1	999	0.300
5	54	0	0.700	1	0.535	1	999	0.300
5	55	0	0.000	1	0.669	1	999	0.350
5	56	0	0.000	0	0.885	0	999	0.350
5	57	1	0.000	999	0.000	999	1	0.350
5	58	0	-0.700	0	0.369	1	999	0.300
5	59	0	0.700	1	0.419	1	999	0.300
5	60	0	0.000	1	0.569	1	999	0.375
5	61	0	0.100	0	0.802	0	999	0.400
5	62	0	0.000	1	0.652	0	999	0.375
5	63	0	-0.100	0	0.719	1	999	0.400
5	64	1	0.100	999	0.000	999	1	0.400
5	65	0	0.300	0	0.752	0	999	0.300
5	66	0	-0.300	0	0.635	1	999	0.300
5	67	1	-0.100	999	0.000	999	1	0.425
5	68	0	0.700	1	0.585	1	999	0.300
5	69	0	-0.700	0	0.485	1	999	0.300
5	70	0	-0.300	0	0.536	1	999	0.300
5	71	0	-0.700	0	0.602	1	999	0.300
5	72	1	-0.700	0	0.519	1	0	0.300
5	73	0	0.700	1	0.569	1	999	0.275
5	74	0	-0.300	0	0.702	1	999	0.300
5	75	1	-0.300	999	0.000	999	1	0.300
5	76	1	0.300	1	1.085	1	0	0.325
5	77	0	-0.100	0	0.785	1	999	0.450
5	78	0	0.300	1	0.585	1	999	0.300
5	79	0	0.000	0	0.602	0	999	0.375
5	80	0	-0.100	0	0.569	1	999	0.450
5	81	1	0.700	1	0.602	1	0	0.275
5	82	0	0.300	1	0.718	1	999	0.300
5	83	0	0.100	1	0.768	1	999	0.450
5	84	0	0.100	1	0.686	1	999	0.450
