Experiment date: 2013_10_15_7_52_48
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
3	1	0	-0.700	0	0.468	1	999	0.300
3	2	1	0.700	1	0.402	1	0	0.300
3	3	0	-0.300	0	0.635	1	999	0.300
3	4	0	0.100	0	0.718	0	999	0.300
3	5	0	0.300	1	0.552	1	999	0.300
3	6	0	-0.100	0	0.902	1	999	0.300
3	7	0	0.100	1	0.652	1	999	0.300
3	8	0	-0.100	1	1.168	0	999	0.300
3	9	0	0.300	1	0.568	1	999	0.300
3	10	0	0.000	1	0.685	0	999	0.300
3	11	1	0.300	1	0.604	1	0	0.300
3	12	1	0.000	999	0.000	999	1	0.300
3	13	1	0.100	999	0.000	999	1	0.300
3	14	0	0.100	1	0.621	1	999	0.325
3	15	0	-0.700	0	0.636	1	999	0.275
3	16	0	0.700	1	0.620	1	999	0.275
3	17	1	-0.100	999	0.000	999	1	0.325
3	18	0	0.300	1	0.485	1	999	0.275
3	19	1	-0.300	0	0.503	1	0	0.275
3	20	0	0.000	1	1.069	1	999	0.325
3	21	0	0.700	1	0.585	1	999	0.275
3	22	0	0.700	1	0.619	1	999	0.275
3	23	0	-0.700	0	0.502	1	999	0.275
3	24	1	-0.700	999	0.000	999	1	0.275
3	25	0	-0.300	0	0.735	1	999	0.250
3	26	0	-0.100	0	0.752	1	999	0.350
3	27	0	0.000	1	0.852	1	999	0.325
3	28	0	-0.300	0	0.735	1	999	0.250
3	29	0	0.100	1	0.735	1	999	0.350
3	30	1	0.700	1	0.585	1	0	0.300
3	31	1	-0.700	999	0.000	999	1	0.275
3	32	0	0.300	1	0.619	1	999	0.250
3	33	0	0.000	1	0.769	1	999	0.325
3	34	1	0.000	999	0.000	999	1	0.325
3	35	1	-0.100	999	0.000	999	1	0.350
3	36	0	0.700	1	0.602	1	999	0.300
3	37	0	-0.700	0	0.419	1	999	0.300
3	38	0	0.700	1	0.535	1	999	0.300
3	39	0	-0.100	1	0.585	0	999	0.375
3	40	1	0.100	999	0.000	999	1	0.375
3	41	0	0.000	0	1.321	0	999	0.350
3	42	0	-0.300	0	0.669	1	999	0.250
3	43	0	0.000	0	0.952	1	999	0.350
3	44	0	-0.100	1	1.019	0	999	0.400
3	45	0	0.100	1	0.668	1	999	0.400
3	46	1	-0.300	999	0.000	999	1	0.250
3	47	0	-0.700	0	0.502	1	999	0.300
3	48	0	0.700	1	0.452	1	999	0.300
3	49	0	-0.700	0	0.754	1	999	0.300
3	50	0	0.300	1	0.669	1	999	0.275
3	51	0	-0.100	0	0.885	1	999	0.400
3	52	0	0.100	1	0.619	1	999	0.400
3	53	0	-0.300	0	0.636	1	999	0.275
3	54	1	0.300	1	0.502	1	0	0.275
3	55	0	0.300	1	0.671	1	999	0.250
3	56	0	-0.300	0	0.535	1	999	0.250
3	57	0	0.700	1	0.702	1	999	0.300
3	58	0	0.000	1	0.968	0	999	0.350
3	59	0	-0.100	0	0.835	1	999	0.400
3	60	1	-0.700	999	0.000	999	1	0.300
3	61	1	0.000	1	0.685	0	0	0.350
3	62	0	0.100	1	1.285	1	999	0.400
3	63	0	-0.300	0	0.635	1	999	0.250
3	64	1	0.100	1	0.619	1	0	0.400
3	65	1	0.300	999	0.000	999	1	0.250
3	66	0	0.000	0	0.902	1	999	0.325
3	67	0	-0.300	0	0.636	1	999	0.275
3	68	0	0.300	1	0.735	1	999	0.275
3	69	0	-0.700	0	0.535	1	999	0.325
3	70	0	-0.700	0	0.586	1	999	0.325
3	71	0	0.100	1	0.869	1	999	0.375
3	72	0	-0.100	0	0.635	1	999	0.375
3	73	1	0.700	1	0.652	1	0	0.325
3	74	1	-0.300	999	0.000	999	1	0.275
3	75	0	-0.700	0	0.837	1	999	0.300
3	76	0	0.000	0	1.002	1	999	0.325
3	77	0	-0.100	0	1.385	1	999	0.375
3	78	0	0.100	1	0.885	1	999	0.375
3	79	1	-0.100	999	0.000	999	1	0.375
3	80	0	0.300	1	0.618	1	999	0.300
3	81	0	0.300	1	0.652	1	999	0.300
3	82	0	0.700	1	0.602	1	999	0.300
3	83	0	0.700	1	0.554	1	999	0.300
3	84	0	-0.300	0	0.935	1	999	0.300
