Experiment date: 2013_11_7_7_55_10
SesNo	Trial	TrialType	Coherence	Resp	RT	IsCorrect	CorrStop	SSD
8	1	1	-0.700	0	0.535	1	0	0.300
8	2	0	0.100	1	0.885	1	999	0.300
8	3	0	-0.100	1	1.002	0	999	0.300
8	4	1	0.100	999	0.000	999	1	0.300
8	5	1	0.000	999	0.000	999	1	0.300
8	6	1	0.700	1	0.585	1	0	0.275
8	7	0	0.100	1	1.169	1	999	0.325
8	8	1	0.300	1	0.619	1	0	0.300
8	9	1	-0.100	999	0.000	999	1	0.325
8	10	0	0.300	1	0.585	1	999	0.275
8	11	0	0.700	1	0.553	1	999	0.250
8	12	0	-0.700	0	0.535	1	999	0.250
8	13	0	-0.700	0	0.485	1	999	0.250
8	14	0	-0.300	0	0.535	1	999	0.275
8	15	0	0.300	1	0.485	1	999	0.275
8	16	0	-0.100	0	0.419	1	999	0.350
8	17	1	-0.300	1	0.419	0	0	0.275
8	18	0	0.000	0	1.152	0	999	0.325
8	19	0	0.300	1	0.552	1	999	0.250
8	20	0	-0.300	0	0.469	1	999	0.250
8	21	0	-0.100	0	0.652	1	999	0.350
8	22	0	-0.300	0	0.637	1	999	0.250
8	23	0	0.100	1	0.685	1	999	0.350
8	24	0	0.700	1	0.602	1	999	0.250
8	25	0	-0.700	0	0.619	1	999	0.250
8	26	0	0.700	1	0.469	1	999	0.250
8	27	0	0.000	1	0.569	0	999	0.325
8	28	0	0.000	0	0.635	1	999	0.325
8	29	0	0.100	1	0.535	1	999	0.350
8	30	0	-0.300	0	0.435	1	999	0.250
8	31	0	-0.300	0	0.569	1	999	0.250
8	32	0	0.100	1	0.452	1	999	0.350
8	33	0	-0.100	0	0.454	1	999	0.350
8	34	0	0.000	0	0.535	0	999	0.325
8	35	0	0.700	1	0.468	1	999	0.250
8	36	1	0.000	0	0.602	0	0	0.325
8	37	0	-0.300	0	0.819	1	999	0.250
8	38	0	0.700	1	0.554	1	999	0.250
8	39	0	-0.700	0	0.702	1	999	0.250
8	40	0	-0.100	0	0.652	1	999	0.350
8	41	0	0.300	1	0.519	1	999	0.250
8	42	1	0.700	1	0.502	1	0	0.250
8	43	1	-0.700	999	0.000	999	1	0.225
8	44	0	0.300	1	0.435	1	999	0.250
8	45	1	-0.300	999	0.000	999	1	0.250
8	46	0	0.100	1	0.652	1	999	0.350
8	47	1	0.100	999	0.000	999	1	0.350
8	48	1	-0.100	0	0.603	1	0	0.375
8	49	0	0.000	1	0.952	1	999	0.300
8	50	0	0.700	1	0.586	1	999	0.250
8	51	0	-0.700	0	0.535	1	999	0.250
8	52	0	0.000	1	1.018	1	999	0.300
8	53	1	0.300	1	0.535	1	0	0.275
8	54	0	0.300	1	0.635	1	999	0.250
8	55	0	-0.100	0	0.669	1	999	0.350
8	56	0	-0.700	0	0.619	1	999	0.250
8	57	0	0.700	1	0.535	1	999	0.250
8	58	0	0.700	1	0.535	1	999	0.250
8	59	0	-0.700	0	0.552	1	999	0.250
8	60	0	0.300	1	0.769	1	999	0.250
8	61	0	0.100	1	0.785	1	999	0.350
8	62	0	0.000	0	0.569	1	999	0.300
8	63	1	0.700	999	0.000	999	1	0.250
8	64	0	-0.300	0	0.588	1	999	0.250
8	65	1	0.100	999	0.000	999	1	0.350
8	66	1	0.300	999	0.000	999	1	0.250
8	67	0	0.000	1	0.535	1	999	0.300
8	68	0	-0.100	1	0.569	0	999	0.375
8	69	0	0.700	1	0.585	1	999	0.275
8	70	0	-0.300	0	0.555	1	999	0.275
8	71	0	0.100	1	0.585	1	999	0.375
8	72	1	-0.300	999	0.000	999	1	0.275
8	73	0	-0.100	0	0.585	1	999	0.375
8	74	0	-0.700	0	0.552	1	999	0.275
8	75	0	0.100	1	0.635	1	999	0.375
8	76	1	0.000	999	0.000	999	1	0.300
8	77	0	-0.300	0	0.569	1	999	0.300
8	78	0	0.000	1	0.802	0	999	0.325
8	79	0	0.300	1	0.619	1	999	0.300
8	80	1	-0.700	0	0.452	1	0	0.275
8	81	1	-0.100	999	0.000	999	1	0.375
8	82	0	0.300	1	0.702	1	999	0.300
8	83	0	-0.700	0	0.569	1	999	0.250
8	84	0	-0.100	0	0.618	1	999	0.400
